VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Distance_between_service,Time_between_service,Trip_type 
1,2015-01-01 00:35:37,2015-01-01 01:07:17,N,1,-73.950355529785156,40.792396545410156,-73.949920654296875,40.791984558105469,1,2.60,20.5,0.5,0.5,0,0,,0.3,21.8,2,10.00,302,1
1,2015-01-01 00:35:34,2015-01-01 00:53:45,N,1,-73.947273254394531,40.748661041259766,-73.928596496582031,40.696407318115234,3,4.20,16,0.5,0.5,3.45,0,,0.3,20.75,1,36.00,829,1
1,2015-01-01 00:35:40,2015-01-01 00:36:58,N,1,-73.951156616210937,40.79119873046875,-73.947067260742187,40.796863555908203,1,.40,3.5,0.5,0.5,0,0,,0.3,4.8,2,17.00,383,1
1,2015-01-01 00:35:23,2015-01-01 00:46:00,N,1,-73.896049499511719,40.821060180664063,-73.923530578613281,40.814235687255859,1,1.90,9,0.5,0.5,0,0,,0,10,4,6.00,423,1
1,2015-01-01 00:35:15,2015-01-01 00:55:45,N,1,-73.949066162109375,40.812984466552734,-73.905128479003906,40.824798583984375,2,3.50,16,0.5,0.5,0,0,,0.3,17.3,2,1.00,82,1
1,2015-01-01 00:35:28,2015-01-01 00:37:12,N,1,-73.884109497070312,40.74755859375,-73.880722045898437,40.750091552734375,1,.30,3.5,0.5,0.5,0.95,0,,0.3,5.75,1,74.00,3331,1
1,2015-01-01 00:35:30,2015-01-01 00:45:08,N,1,-73.931900024414063,40.679473876953125,-73.954421997070312,40.687290191650391,1,1.80,8.5,0.5,0.5,0,0,,0,9.5,2,5.00,315,1
2,2015-01-01 00:36:00,2015-01-01 00:38:24,N,1,-73.962936401367188,40.711971282958984,-73.958763122558594,40.716777801513672,1,.41,3.5,0.5,0.5,0,0,,0.3,4.8,2,1.00,638,1
2,2015-01-01 00:36:14,2015-01-01 00:39:42,N,1,-73.927696228027344,40.759021759033203,-73.92327880859375,40.767810821533203,2,.76,4.5,0.5,0.5,1.5,0,,0.3,7.3,1,11.00,8820,1
2,2015-01-01 00:36:54,2015-01-01 00:39:29,N,1,-73.955833435058594,40.812801361083984,-73.950843811035156,40.812782287597656,1,.37,4,0.5,0.5,0,0,,0.3,5.3,2,1.00,515,1
2,2015-01-01 00:36:11,2015-01-01 00:40:53,N,1,-73.938606262207031,40.685756683349609,-73.932853698730469,40.681575775146484,1,.58,4.5,0.5,0.5,0,0,,0.3,5.8,2,1.00,620,1
2,2015-01-01 00:35:59,2015-01-01 00:40:10,N,1,-73.923484802246094,40.761062622070313,-73.909408569335937,40.761306762695313,1,.95,5.5,0.5,0.5,0,0,,0.3,6.8,2,4.00,1325,1
2,2015-01-01 00:36:25,2015-01-01 00:40:39,N,1,-73.949966430664063,40.801967620849609,-73.956962585449219,40.800891876220703,1,.50,4.5,0.5,0.5,0,0,,0.3,5.8,2,.00,107,1
2,2015-01-01 00:36:38,2015-01-01 00:40:35,N,1,-73.956436157226563,40.730091094970703,-73.952774047851562,40.745487213134766,1,1.43,6.5,0.5,0.5,1.75,0,,0.3,9.55,1,.00,3095,1
2,2015-01-01 00:36:45,2015-01-01 00:41:19,N,1,-73.956123352050781,40.714145660400391,-73.983047485351563,40.695911407470703,1,2.58,9,0.5,0.5,2.38,0,,0.3,12.68,1,.00,146,1
2,2015-01-01 00:36:32,2015-01-01 00:42:13,N,1,-73.953727722167969,40.682285308837891,-73.947273254394531,40.68438720703125,1,.65,5,0.5,0.5,0,0,,0.3,6.3,2,.00,6211,1
2,2015-01-01 00:35:50,2015-01-01 00:42:55,N,1,-73.883247375488281,40.755718231201172,-73.87701416015625,40.763328552246094,2,1.09,7,0.5,0.5,0,0,,0.3,8.3,2,.00,223,1
2,2015-01-01 00:36:28,2015-01-01 00:44:56,N,1,-73.939109802246094,40.760776519775391,-73.903213500976563,40.777553558349609,1,2.94,10.5,0.5,0.5,2.2,0,,0.3,14,1,.00,1756,1
2,2015-01-01 00:35:55,2015-01-01 00:44:43,N,1,-73.840339660644531,40.718738555908203,-73.805282592773438,40.731681823730469,1,2.49,10,0.5,0.5,0,0,,0.3,11.3,2,1.00,3215,1
2,2015-01-01 00:36:08,2015-01-01 00:45:47,N,1,-73.891036987304688,40.746738433837891,-73.866058349609375,40.737354278564453,1,1.60,8.5,0.5,0.5,0,0,,0.3,9.8,2,2.00,1563,1
2,2015-01-01 00:36:15,2015-01-01 00:44:59,N,1,-73.878807067871094,40.740257263183594,-73.892890930175781,40.755233764648437,1,1.38,8,0.5,0.5,0,0,,0.3,9.3,2,11.00,2698,1
2,2015-01-01 00:36:05,2015-01-01 00:46:34,N,1,-73.952781677246094,40.714080810546875,-73.997665405273438,40.678684234619141,1,5.22,16,0.5,0.5,3.3,0,,0.3,20.6,1,.00,298,1
2,2015-01-01 00:36:37,2015-01-01 00:47:31,N,1,-73.952598571777344,40.726898193359375,-73.937347412109375,40.702556610107422,1,2.30,10,0.5,0.5,2.62,0,,0.3,13.92,1,.00,135,1
2,2015-01-01 00:36:51,2015-01-01 00:47:04,N,1,-73.987266540527344,40.691810607910156,-73.994590759277344,40.689884185791016,1,1.18,8.5,0.5,0.5,1,0,,0.3,10.8,1,.00,298,1
2,2015-01-01 00:35:48,2015-01-01 00:46:05,N,1,-73.962059020996094,40.805393218994141,-73.937400817871094,40.823768615722656,1,2.27,10,0.5,0.5,0,0,,0.3,11.3,2,4.00,4656,1
2,2015-01-01 00:35:58,2015-01-01 00:48:17,N,1,-73.939216613769531,40.816387176513672,-73.968704223632812,40.791660308837891,1,2.77,11.5,0.5,0.5,0,0,,0,12.5,2,3.00,7164,1
2,2015-01-01 00:36:30,2015-01-01 00:49:58,N,1,-73.918525695800781,40.834877014160156,-73.919265747070313,40.866096496582031,1,4.00,14.5,0.5,0.5,0,0,,0.3,15.8,2,3.00,1509,1
2,2015-01-01 00:36:42,2015-01-01 00:53:10,N,1,-73.951408386230469,40.69140625,-73.906272888183594,40.690082550048828,1,2.92,13.5,0.5,0.5,2,0,,0.3,16.8,1,.00,14,1
2,2015-01-01 00:36:43,2015-01-01 00:53:35,N,1,-73.945335388183594,40.746051788330078,-73.868247985839844,40.740806579589844,1,4.72,17,0.5,0.5,0,0,,0.3,18.3,2,4.00,2798,1
2,2015-01-01 00:36:18,2015-01-01 00:58:57,N,1,-73.807762145996094,40.700450897216797,-73.904136657714844,40.74554443359375,1,10.54,31.5,0.5,0.5,5,0,,0.3,37.8,1,1.00,47128,1
2,2015-01-01 00:36:11,2015-01-01 00:58:42,N,1,-73.939918518066406,40.708473205566406,-73.997627258300781,40.643875122070313,1,9.39,28.5,0.5,0.5,8.7,0,,0.3,38.5,1,.00,157,1
2,2015-01-01 00:36:29,2015-01-01 01:02:06,N,1,-73.997222900390625,40.687923431396484,-73.9317626953125,40.681446075439453,1,4.72,19.5,0.5,0.5,4,0,,0,24.5,1,.00,351,1
2,2015-01-01 00:36:34,2015-01-01 01:03:12,N,1,-73.95709228515625,40.712303161621094,-73.985748291015625,40.663055419921875,1,5.60,23.5,0.5,0.5,4.8,0,,0.3,29.6,1,.00,75,1
2,2015-01-01 00:36:21,2015-01-01 01:04:08,N,1,-73.809165954589844,40.700065612792969,-73.980476379394531,40.660274505615234,1,18.06,48,0.5,0.5,0,0,,0.3,49.3,2,2.00,579,1
2,2015-01-01 00:36:24,2015-01-01 01:05:46,N,1,-73.844642639160156,40.722114562988281,-73.976936340332031,40.763965606689453,1,8.70,30.5,0.5,0.5,2,0,,0.3,33.8,1,3.00,1143,1
1,2015-01-01 00:36:52,2015-01-01 00:49:40,N,1,-73.961738586425781,40.713142395019531,-73.934013366699219,40.702960968017578,1,2.30,10.5,0.5,0.5,2.3,0,,0,13.8,1,19.00,557,1
1,2015-01-01 00:36:41,2015-01-01 00:44:10,N,1,-73.991386413574219,40.696159362792969,-73.952919006347656,40.713916778564453,1,2.80,10.5,0.5,0.5,0,0,,0.3,11.8,2,6.00,696,1
